source_text,translated_text,context
Failed to fetch exchange rate from {0} to {1} on {2}. Please check your internet connection or try again later.,Không thể lấy tỷ giá từ {0} sang {1} vào ngày {2}. Vui lòng kiểm tra kết nối internet hoặc thử lại sau.,
Failed to load form controller: {0},Không thể tải bộ điều khiển biểu mẫu: {0},
Failed to rename template,Không thể đổi tên mẫu,
Failed to save workday: {0},Không thể lưu ngày làm việc: {0},
Failed to send comment!,Không thể gửi bình luận!,
Failed to send email!,Không thể gửi email!,
Failed to send WhatsApp message,Không thể gửi tin nhắn WhatsApp,
Failed to send WhatsApp template,Không thể gửi mẫu WhatsApp,
Failed to update attending status,Không thể cập nhật trạng thái tham dự,
"Failed to update Email Account, Invalid credentials","Không thể cập nhật Tài khoản Email, thông tin xác thực không hợp lệ",
Failed to update password,Không thể cập nhật mật khẩu,
Failed to update source,Không thể cập nhật nguồn,
Failed to update template,Không thể cập nhật mẫu,
Failed to update Twilio call status,Không thể cập nhật trạng thái cuộc gọi Twilio,
Failure Logs,Nhật ký lỗi,
Favicon,Favicon,
fawazahmed-exchange-api,fawazahmed-exchange-api,
FCRM Note,FCRM Note,
FCRM Settings,Cài đặt FCRM,
fields,trường,
Fields Order,Thứ tự trường,
"File ""{0}"" was skipped because only {1} uploads are allowed","Tệp ""{0}"" đã bị bỏ qua vì chỉ cho phép tải lên {1} tệp",
"File ""{0}"" was skipped because only {1} uploads are allowed for DocType ""{2}""","Tệp ""{0}"" đã bị bỏ qua vì chỉ cho phép tải lên {1} tệp cho DocType ""{2}""",
First name,Tên,
First Name is mandatory,Tên là bắt buộc,
First Response TIme,Thời gian phản hồi đầu tiên,
"For all-day events, <b>set a time</b> to send reminders before the event starts","Đối với sự kiện cả ngày, <b>đặt thời gian</b> để gửi nhắc nhở trước khi sự kiện bắt đầu",
Forecasted revenue,Doanh thu dự báo,
Forecasted Revenue,Doanh thu dự báo,
Form Script updated successfully,Đã cập nhật Form Script thành công,
frankfurter.app,frankfurter.app,
Frappe CRM,Frappe CRM,
Frappe CRM mobile,Frappe CRM di động,
FROM,TỪ,
From Number,Số gọi đi,
From Type,Loại nguồn,
Funnel conversion,Chuyển đổi phễu,
Funnel Conversion,Chuyển đổi phễu,
Geographic distribution of deals and revenue,Phân bổ deal và doanh thu theo địa lý,
GitHub Repository,Kho lưu trữ GitHub,
GMT+5:30,GMT+5:30,
Go to Invite Page,Đến trang mời,
Go to Website,Đến website,
Going?,Tham dự?,
Greater than,Lớn hơn,
Greater than or equal to,Lớn hơn hoặc bằng,
Grid Row,Hàng lưới,
Group By Field,Trường nhóm theo,
group_by,group_by,
Hang Up,Kết thúc cuộc gọi,
has made a call,đã thực hiện cuộc gọi,
has reached out,đã liên hệ,
"Hi John, \
\
Can you please provide more details on this...","Xin chào John, \
\
Bạn có thể cung cấp thêm chi tiết về việc này...",
Hide Password,Ẩn mật khẩu,
Hide Recording,Ẩn ghi âm,
Home Actions,Hành động trang chủ,
hour before,giờ trước,
hours before,giờ trước,
"I understand, Add Conditions","Tôi hiểu, thêm điều kiện",
"If enabled, a lead will be automatically created when an incoming email is received from an unknown contact.","Nếu bật, hệ thống sẽ tự động tạo Lead khi nhận email từ liên hệ chưa xác định.",
"If enabled, all outgoing emails will be sent from this account. Note: Only one account can be default outgoing.","Nếu bật, mọi email gửi đi sẽ được gửi từ tài khoản này. Lưu ý: chỉ một tài khoản có thể là mặc định gửi đi.",
"If enabled, all replies to your company (eg: replies@yourcompany.com) will come to this account. Note: Only one account can be default incoming.","Nếu bật, mọi email trả lời gửi đến công ty của bạn (ví dụ: replies@yourcompany.com) sẽ vào tài khoản này. Lưu ý: chỉ một tài khoản có thể là mặc định nhận thư.",
"If enabled, emails will be pulled from this account.","Nếu bật, email sẽ được tải về từ tài khoản này.",
"If enabled, outgoing emails can be sent from this account.","Nếu bật, có thể gửi email đi từ tài khoản này.",
in {0} d,trong {0} ngày,
in {0} days,trong {0} ngày,
in {0} h,trong {0} giờ,
in {0} hours,trong {0} giờ,
in {0} m,trong {0} phút,
in {0} M,trong {0} phút,
in {0} minutes,trong {0} phút,
in {0} months,trong {0} tháng,
in {0} w,trong {0} tuần,
in {0} weeks,trong {0} tuần,
in {0} y,trong {0} năm,
in {0} years,trong {0} năm,
in 1 hour,trong 1 giờ,
in 1 minute,trong 1 phút,
in 1 year,trong 1 năm,
In less than a minute,Trong chưa đầy một phút,
Inbound Call,Cuộc gọi đến,
Incoming call...,Cuộc gọi đến...,
Industries,Ngành,
Initiating call...,Đang khởi tạo cuộc gọi...,
Insert Email Template,Chèn mẫu email,
Insert Emoji,Chèn emoji,
Integration,Tích hợp,
Integration Not Enabled,Tích hợp chưa được bật,
Invalid access token provided for Facebook.,Access token cung cấp cho Facebook không hợp lệ.,
Invalid Account SID or Auth Token.,Account SID hoặc Auth Token không hợp lệ.,
Invalid chart name,Tên biểu đồ không hợp lệ,
Invalid email address,Địa chỉ email không hợp lệ,
Invalid Email Address,Địa chỉ email không hợp lệ,
Invalid email ID,ID email không hợp lệ,
Invalid Email or Password,Email hoặc mật khẩu không hợp lệ,
Invalid Exotel Number,Số Exotel không hợp lệ,
Invalid field,Trường không hợp lệ,
"Invalid fields, check if all are filled in and values are correct.","Trường không hợp lệ, vui lòng kiểm tra đã điền đủ và đúng giá trị chưa.",
Invalid fields: {0},Các trường không hợp lệ: {0},
"Invalid format. Try: 1 hour 30 minutes, 2 hours, 45 seconds, 1:30:45, 90s","Định dạng không hợp lệ. Thử: 1 giờ 30 phút, 2 giờ, 45 giây, 1:30:45, 90s",
"Invalid format. Try: 1h 30m 45s, 1:30:45, 90s","Định dạng không hợp lệ. Thử: 1h 30m 45s, 1:30:45, 90s",
Invalid lead details supplied.,Chi tiết Lead cung cấp không hợp lệ.,
Invalid or expired key,Khoá không hợp lệ hoặc đã hết hạn,
Invalid page or not permitted to access,Trang không hợp lệ hoặc không có quyền truy cập,
Invalid Start Or End Time,Giờ bắt đầu hoặc kết thúc không hợp lệ,
Invalid Twilio account,Tài khoản Twilio không hợp lệ,
Invalid Twilio application,Ứng dụng Twilio không hợp lệ,
Invalid Website URL,URL website không hợp lệ,
Invitations sent successfully,Đã gửi lời mời thành công,
Invite Agent,Mời nhân viên,
Invite As,Mời với vai trò,
Invite By Email,Mời qua email,
Invite New User,Mời người dùng mới,
Invite User,Mời người dùng,
Invite users to access CRM. Specify their roles to control access and permissions,Mời người dùng truy cập CRM. Chỉ định vai trò để kiểm soát quyền truy cập,
Invite your team,Mời nhóm của bạn,
Is ERPNext installed on a different site?,ERPNext có cài đặt trên site khác không?,
It appears that there are currently no {0} available. You can create more {0} by using the Create button.,Hiện tại chưa có {0} nào. Bạn có thể tạo thêm {0} bằng nút Tạo.,
"It will make deal's ""Expected Closure Date"" & ""Expected Deal Value"" mandatory to get accurate forecasting insights","Sẽ bắt buộc ""Ngày đóng dự kiến"" và ""Giá trị Deal dự kiến"" để có dự báo chính xác",
Items are required,Mặt hàng là bắt buộc,
Items must be a list,Mặt hàng phải là một danh sách,
John Doe,John Doe,
"John, Jane, Doe","John, Jane, Doe",
john@doe.com,john@doe.com,
kanban,kanban,
Kanban Columns,Cột Kanban,
Kanban Fields,Trường Kanban,
Kanban settings,Cài đặt Kanban,
Language & Time,Ngôn ngữ & Thời gian,
Last 60 Days,60 ngày qua,
Last name,Họ,
Last Responded On,Phản hồi lần cuối vào,
Last Response Time,Thời gian phản hồi cuối,
Last Status Change Log,Nhật ký thay đổi trạng thái cuối,
Last Synced At,Đồng bộ lần cuối lúc,
Lead Data,Dữ liệu Lead,
Lead from call {0},Lead từ cuộc gọi {0},
Lead generation channel analysis,Phân tích kênh tạo Lead,
Lead Sources,Nguồn Lead,
Lead Statuses,Trạng thái Lead,
Lead sync initiated.,Đã khởi tạo đồng bộ Lead.,
Lead Sync Source,Nguồn đồng bộ Lead,
Lead Sync Source created successfully,Đã tạo Nguồn đồng bộ Lead thành công,
Lead sync source deleted successfully,Đã xoá Nguồn đồng bộ Lead thành công,
Lead Syncing,Đồng bộ Lead,
Lead to deal conversion pipeline,Pipeline chuyển đổi Lead sang Deal,
leads,khách hàng tiềm năng,
Leads by source,Lead theo nguồn,
Leads by Source,Lead theo nguồn,
Less than,Nhỏ hơn,
Less than or equal to,Nhỏ hơn hoặc bằng,
Listen,Nghe,
Load Default Columns,Tải cột mặc định,
Log a Call,Ghi nhật ký cuộc gọi,
Log ID,ID nhật ký,
Login with Different Account,Đăng nhập bằng tài khoản khác,
Lost deal reasons,Lý do mất Deal,
Lost Deal Reasons,Lý do mất Deal,
Lost Details,Chi tiết thua,
Lost Notes,Ghi chú thua,
"Lost Notes are required when Lost Reason is ""Other""","Ghi chú thua là bắt buộc khi Lý do thua là ""Khác""",
Lost Reason is required,Lý do thua là bắt buộc,
Make {0} as default calling medium,Đặt {0} làm phương tiện gọi mặc định,
Make a Call,Gọi điện,
Make attachment {0},Tạo tệp đính kèm {0},
Make Private,Đặt riêng tư,
Make Public,Đặt công khai,
"Makes ""Expected Closure Date"" and ""Expected Deal Value"" mandatory for deal value forecasting","Bắt buộc ""Ngày đóng dự kiến"" và ""Giá trị Deal dự kiến"" để dự báo giá trị deal",
"Manage CRM users by adding or inviting them, and assign roles to control their access and permissions","Quản lý người dùng CRM bằng cách thêm hoặc mời, và chỉ định vai trò để kiểm soát quyền truy cập",
Manage your account emails and email signature for communication.,Quản lý email và chữ ký email của tài khoản để giao tiếp.,
Manage your email accounts to send and receive emails directly from CRM. You can add multiple accounts and set one as default for incoming and outgoing emails.,Quản lý tài khoản email để gửi và nhận email trực tiếp từ CRM. Bạn có thể thêm nhiều tài khoản và đặt một tài khoản làm mặc định cho email đến và đi.,
Manage your email signature,Quản lý chữ ký email của bạn,
Manage your profile & login information.,Quản lý hồ sơ & thông tin đăng nhập của bạn.,
Manage your service level agreement policies,Quản lý các chính sách thoả thuận mức dịch vụ của bạn,
Mandatory field error: {0},Lỗi trường bắt buộc: {0},
Mandatory field(s) {0} must be mapped,Trường bắt buộc {0} phải được ánh xạ,
Mandatory fields required: {0},Các trường bắt buộc cần điền: {0},
Mapped to CRM Field,Ánh xạ tới trường CRM,
Mark lead/deal as replied on response,Đánh dấu Lead/Deal là đã phản hồi khi nhận phản hồi,
"May 1, 2025","1 tháng 5, 2025",
mentioned you in {0},đã nhắc đến bạn trong {0},
Minimize,Thu nhỏ,
minute before,phút trước,
minutes before,phút trước,
Missed Call,Cuộc gọi nhỡ,
Missing mandatory fields: {0},Thiếu các trường bắt buộc: {0},
Mobile App Installation,Cài đặt ứng dụng di động,
Mobile No. should be a number,Số di động phải là một số,
Mobile Number Missing,Thiếu số di động,
Move to Next Tab,Sang tab tiếp theo,
Move to Previous Tab,Sang tab trước,
My Open Deals,Deal đang mở của tôi,
Name is required,Tên là bắt buộc,
Nested Conditions,Điều kiện lồng nhau,
New Assignment Rule,Quy tắc phân công mới,
New Comment,Bình luận mới,
New contact will be created based on the person's details,Liên hệ mới sẽ được tạo dựa trên thông tin của người này,
New Lead Sync Source,Nguồn đồng bộ Lead mới,
New Message,Tin nhắn mới,
New Organization,Tổ chức mới,
New organization will be created based on the data in details section,Tổ chức mới sẽ được tạo dựa trên dữ liệu trong phần chi tiết,
New Section,Phần mới,
New Tab,Tab mới,
New Template,Mẫu mới,
next,tiếp theo,
Next Step,Bước tiếp theo,
No {0} available,Không có {0},
No Contacts Added,Chưa có liên hệ nào,
No Details Added,Chưa thêm chi tiết nào,
No events coming up. Create a new one to keep things on track.,Không có sự kiện nào sắp tới. Tạo sự kiện mới để theo dõi tiến độ.,
No Events Scheduled,Chưa có sự kiện nào,
No Failure Logs Found,Không tìm thấy nhật ký lỗi nào,
No holiday list found,Không tìm thấy danh sách ngày lễ nào,
No New Notifications,Không có thông báo mới,
No Primary Contact Set,Chưa đặt liên hệ chính,
No Priorities in the list,Không có mức ưu tiên nào trong danh sách,
No results found,Không tìm thấy kết quả nào,
No Results Found,Không tìm thấy kết quả nào,
No Templates Found,Không tìm thấy mẫu nào,
No Users Found,Không tìm thấy người dùng nào,
No Website Found,Không tìm thấy website nào,
No Workdays in the List,Không có ngày làm việc nào trong danh sách,
Normal,Bình thường,
Not allowed to add contact to Deal,Không được phép thêm liên hệ vào Deal,
Not allowed to convert Lead to Deal,Không được phép chuyển đổi Lead thành Deal,
Not allowed to remove contact from Deal,Không được phép xoá liên hệ khỏi Deal,
